iter	RMSE
203	11.74971852
204	11.72421286
205	11.64803217
206	11.58202504
207	11.54905526
208	11.50403193
209	11.45780092
210	11.35329762
211	11.29067211
212	11.22918025
213	11.17844534
214	11.10762682
215	11.06968151
216	11.01790294
217	10.94462442
218	10.9012646
219	10.88224336
220	10.82746441
221	10.76737769
222	10.69635662
223	10.66058628
224	10.55471854
225	10.53120094
226	10.49365252
227	10.46382422
228	10.37999221
229	10.33028939
230	10.30766826
231	10.26804931
232	10.23722004
233	10.17412092
234	10.12215899
235	10.06313781
236	10.02850857
237	9.978907101
238	9.957189307
239	9.895657473
240	9.833604623
241	9.76131783
242	9.714740719
243	9.6609359
244	9.610237674
245	9.560596282
246	9.506194214
247	9.44882732
248	9.391857079
249	9.335361122
250	9.290090798
251	9.263299672
252	9.222156864
253	9.169852172
254	9.132116352
255	9.089578468
256	9.01018342
257	8.938316167
258	8.904762607
259	8.870055806
260	8.84644281
261	8.806422807
262	8.790612026
263	8.746223756
264	8.701507501
265	8.654706526
266	8.592483721
267	8.553024053
268	8.502415796
269	8.468521581
270	8.42977088
271	8.383372712
272	8.357031059
273	8.322240508
274	8.284272747
275	8.250098091
276	8.213084378
277	8.172597725
278	8.140968507
279	8.108194325
280	8.069948778
281	8.01309096
282	7.974935932
283	7.952581189
284	7.893299175
285	7.850181832
286	7.817120049
287	7.787658907
288	7.758623913
289	7.729321521
290	7.70263833
291	7.674498954
292	7.653988777
293	7.617085405
294	7.582426019
295	7.545582751
296	7.502298494
297	7.477543844
298	7.446153416
299	7.422256524
300	7.400928066
301	7.375825329
302	7.345536498
303	7.313630373
304	7.29610405
305	7.263440197
306	7.24373005
307	7.210956741
308	7.199926428
309	7.181485124
310	7.153135281
311	7.131551137
312	7.108961785
313	7.080075623
314	7.058686172
315	7.013385496
316	6.987977567
317	6.963829805
318	6.934651186
319	6.91342704
320	6.890834286
321	6.863933491
322	6.836215679
323	6.821533243
324	6.793312876
325	6.775231061
326	6.75677122
327	6.736203178
328	6.706113573
329	6.686717239
330	6.66751762
331	6.648599267
332	6.615559361
333	6.599410581
334	6.586206439
335	6.565057262
336	6.544139799
337	6.510486503
338	6.47677677
339	6.458932478
340	6.437169505
341	6.417790408
342	6.380688553
343	6.344191113
344	6.323411683
345	6.301582748
346	6.28454093
347	6.249998829
348	6.206931506
349	6.197715783
350	6.176602461
351	6.149387196
352	6.118445476
353	6.089434495
354	6.068827739
355	6.05908572
356	6.042811443
357	6.012643357
358	5.992060252
359	5.975806199
360	5.955170474
361	5.93283891
362	5.914728599
363	5.890396058
364	5.874430152
365	5.852119307
366	5.83360142
367	5.817785755
368	5.787515652
369	5.769194275
370	5.746887558
371	5.736068349
372	5.73179137
373	5.726973129
374	5.715422239
375	5.695761147
376	5.679526895
377	5.664215619
378	5.650028059
379	5.637601297
380	5.624408883
381	5.616657265
382	5.606249581
383	5.602247526
384	5.576760165
385	5.558534432
386	5.542914703
387	5.531794991
388	5.506048445
389	5.483412548
390	5.472388102
391	5.459036486
392	5.446627179
393	5.43154045
394	5.421175496
395	5.398447557
396	5.386215967
397	5.372483518
398	5.354593314
399	5.341181497
400	5.330687578
401	5.307813832
402	5.28551437
403	5.27071527
404	5.257108741
405	5.253520705
406	5.223481281
407	5.216219377
408	5.212276333
409	5.200678847
410	5.185947871
411	5.184065001
412	5.158838986
413	5.149459076
414	5.145643824
415	5.125977796
416	5.097722009
417	5.094042039
418	5.078607965
419	5.06616991
420	5.050927232
421	5.040248318
422	5.016038037
423	5.006447645
424	4.993108674
425	4.978313671
426	4.960713251
427	4.945710182
428	4.927284974
429	4.918948443
430	4.895349145
431	4.881201608
432	4.870222823
433	4.867312043
434	4.844306402
435	4.830868291
436	4.811366801
437	4.805120477
438	4.796040819
439	4.790320928
440	4.774344937
441	4.765067682
442	4.750143808
443	4.73827364
444	4.734789004
445	4.715462948
446	4.707030777
447	4.699422085
448	4.679798212
449	4.672891854
450	4.652423081
451	4.637844312
452	4.625968075
453	4.611745164
454	4.596092287
455	4.593470123
456	4.577244305
457	4.568437655
458	4.550492266
459	4.539841464
460	4.526984895
461	4.521974801
462	4.513440871
463	4.508900909
464	4.495514863
465	4.492916504
466	4.474725605
467	4.467331501
468	4.450659601
469	4.432200933
470	4.418389755
471	4.398197699
472	4.39037005
473	4.377022043
474	4.364971071
475	4.353521311
476	4.342220238
477	4.333354453
478	4.322416752
479	4.310658262
480	4.302708229
481	4.293866923
482	4.280374616
483	4.271612679
484	4.257045706
485	4.239344202
486	4.23582142
487	4.219015694
488	4.209064589
489	4.197529833
490	4.195481133
491	4.189936862
492	4.168995316
493	4.1511365
494	4.136734676
495	4.135843124
496	4.128206893
497	4.118748807
498	4.100323385
499	4.08356233
500	4.068421861
501	4.057429595
502	4.044754476
503	4.03528716
504	4.027463245
505	4.024730581
506	4.018311098
507	4.013196041
508	4.011171393
509	4.001005218
510	3.9959928
511	3.994840525
512	3.986149983
513	3.977877629
514	3.964861377
515	3.953919345
516	3.950094901
517	3.936233384
518	3.920335771
519	3.910234641
520	3.90092197
521	3.89558981
522	3.894615306
523	3.889914586
524	3.879904794
525	3.879061686
526	3.868507186
527	3.85903545
528	3.84685749
529	3.841383196
530	3.836459602
531	3.835018205
532	3.821787123
533	3.811407796
534	3.804687174
535	3.797170241
536	3.78458439
537	3.780315783
538	3.776282319
539	3.764662767
540	3.756527963
541	3.744282676
542	3.730134798
543	3.720542689
544	3.706106716
545	3.698690581
546	3.686923223
547	3.678446025
548	3.673715328
549	3.669586514
550	3.658747919
551	3.650582868
552	3.643402663
553	3.637571934
554	3.635244185
555	3.630528743
556	3.623845961
557	3.622021671
558	3.62125153
559	3.615786338
560	3.604340522
561	3.594999092
562	3.584014329
563	3.571894832
564	3.555969577
565	3.549190902
566	3.537628701
567	3.531219413
568	3.522265669
569	3.514277965
570	3.503074818
571	3.48890548
572	3.486630999
573	3.478606113
574	3.472037003
575	3.462891972
576	3.457851848
577	3.445225688
578	3.43828058
579	3.431523868
580	3.430806264
581	3.418605896
582	3.415262239
583	3.407521107
584	3.406769715
585	3.402492793
586	3.397982316
587	3.387151409
588	3.382771702
589	3.380032763
590	3.374808897
591	3.363765079
592	3.357585736
593	3.350128461
594	3.338978851
595	3.330139681
596	3.321171913
597	3.313227592
598	3.307986552
599	3.299813439
600	3.296753075
601	3.290805639
602	3.289004898
603	3.288330921
604	3.279925633
605	3.272869034
606	3.263513622
607	3.259107148
608	3.249213565
609	3.247274932
610	3.242832131
611	3.24211505
612	3.236802315
613	3.228403697
614	3.220811748
615	3.211772536
616	3.198429366
617	3.190770751
618	3.185338675
619	3.177814783
620	3.173283006
621	3.171050121
622	3.166222002
623	3.157489586
624	3.156942955
625	3.151276515
626	3.146987946
627	3.139362376
628	3.129108666
629	3.125122465
630	3.121770981
631	3.114531782
632	3.111124211
633	3.107162266
634	3.099666957
635	3.09587111
636	3.094571603
637	3.082710469
638	3.076789423
639	3.070271619
640	3.066316081
641	3.05912816
642	3.055682073
643	3.044710138
644	3.037612839
645	3.032430403
646	3.029218606
647	3.022066742
648	3.016926082
649	3.01194237
650	3.004175638
651	2.996749822
652	2.993602251
653	2.989095027
654	2.98312168
655	2.9722607
656	2.968895585
657	2.962209733
658	2.957099912
659	2.94765516
660	2.939814163
661	2.935484149
662	2.929609617
663	2.918849114
664	2.91264616
665	2.909301937
666	2.900029227
667	2.892179387
668	2.884036582
669	2.877593739
670	2.872366956
671	2.864611463
672	2.858139782
673	2.849180107
674	2.844270451
675	2.839541398
676	2.82955452
677	2.82484451
678	2.816624545
679	2.810626118
680	2.801264737
681	2.795413662
682	2.789652175
683	2.788907036
684	2.783605296
685	2.777910974
686	2.768941899
687	2.765047683
688	2.754595165
689	2.749305557
690	2.744199185
691	2.735279941
692	2.726770579
693	2.724197571
694	2.720546427
695	2.712638651
696	2.70265174
697	2.695338726
698	2.691457983
699	2.685799926
700	2.68165185
701	2.677782013
702	2.676267334
703	2.674924521
704	2.668161822
705	2.662724496
706	2.653745842
707	2.652272594
708	2.650243821
709	2.643778677
710	2.64043181
711	2.637189367
712	2.630612332
713	2.627539894
714	2.618389173
715	2.613832108
716	2.606866662
717	2.602860707
718	2.596064992
719	2.592019539
720	2.584432182
721	2.577464012
722	2.575172145
723	2.56856377
724	2.561375096
725	2.555862083
726	2.54798672
727	2.544791938
728	2.537417685
729	2.533980982
730	2.533386979
731	2.526417424
732	2.522938025
733	2.517735761
734	2.512968376
735	2.507876304
736	2.506287827
737	2.500102352
738	2.499080805
739	2.492588891
740	2.485969093
741	2.481521721
742	2.477749502
743	2.476250261
744	2.467931523
745	2.461126752
746	2.456762217
747	2.451252262
748	2.443961495
749	2.439966805
750	2.433883308
751	2.428505963
752	2.422580495
753	2.416586827
754	2.40869906
755	2.402361038
756	2.40025897
757	2.396610706
758	2.392434914
759	2.385209487
760	2.378404295
761	2.371393089
762	2.365702065
763	2.359051936
764	2.352165038
765	2.34704882
766	2.341045956
767	2.338313345
768	2.333494493
769	2.327392267
770	2.325524613
771	2.323508441
772	2.321415902
773	2.312274546
774	2.304025569
775	2.298870231
776	2.293859584
777	2.291098073
778	2.286610302
779	2.28345959
780	2.278020775
781	2.275636675
782	2.27106036
783	2.266046813
784	2.263065884
785	2.258898025
786	2.255296535
787	2.252862093
788	2.248365053
789	2.241657184
790	2.233790087
791	2.228709041
792	2.228511581
793	2.224908955
794	2.218953612
795	2.218710676
796	2.216192039
797	2.211528047
798	2.205850753
799	2.200531107
800	2.195025449
801	2.192874372
802	2.18806057
803	2.18151645
804	2.175858773
805	2.172904114
806	2.169625392
807	2.164865129
808	2.159952389
809	2.155052937
810	2.151804645
811	2.144844172
812	2.143245648
813	2.136980667
814	2.13559451
815	2.130647413
816	2.126338579
817	2.121334202
818	2.119085458
819	2.11667459
820	2.114452379
821	2.111178919
822	2.10487241
823	2.099419808
824	2.095195563
825	2.088003625
826	2.084503356
827	2.081871569
828	2.077894548
829	2.076376887
830	2.072995247
831	2.068888534
832	2.064117374
833	2.061684655
834	2.055222397
835	2.052370109
836	2.047396481
837	2.047133958
838	2.043148029
839	2.042813303
840	2.037017393
841	2.030874537
842	2.026236015
843	2.01954349
844	2.016642284
845	2.011211457
846	2.009698201
847	2.00731539
848	2.004912565
849	2.003047039
850	2.000277057
851	1.993421209
852	1.990048457
853	1.988566333
854	1.982225165
855	1.978908855
856	1.97323909
857	1.968967763
858	1.968483651
859	1.96626119
860	1.959214146
861	1.957350702
862	1.950382854
863	1.944488023
864	1.943183582
865	1.937964534
866	1.936248561
867	1.935167496
868	1.932614999
869	1.928248733
870	1.922961381
871	1.917346598
872	1.915689335
873	1.914425386
874	1.909393436
875	1.903911924
876	1.901622774
877	1.897079158
878	1.896246753
879	1.895090255
880	1.888302892
881	1.883532816
882	1.879338209
883	1.878556763
884	1.874509861
885	1.869055898
886	1.864786892
887	1.86148692
888	1.855204335
889	1.848594982
890	1.845619865
891	1.843280696
892	1.839340108
893	1.834760057
894	1.833326506
895	1.829135005
896	1.82741558
897	1.826156546
898	1.82128886
899	1.817911619
900	1.814782725
901	1.812303785
902	1.808001683
903	1.806689004
904	1.805296764
905	1.801868798
906	1.801221695
907	1.797566396
908	1.794756849
909	1.7943329
910	1.790094924
911	1.786034493
912	1.783039004
913	1.77947878
914	1.776506545
915	1.773140442
916	1.772439626
917	1.766847761
918	1.763824648
919	1.759172807
920	1.758855614
921	1.757677018
922	1.753954286
923	1.752653184
924	1.748035993
925	1.74775526
926	1.745583517
927	1.742745526
928	1.738145579
929	1.731888271
930	1.727530469
931	1.723213467
932	1.71921562
933	1.715927613
934	1.711927342
935	1.711503364
936	1.711230167
937	1.709441224
938	1.706389271
939	1.703290454
940	1.699210626
941	1.695356975
942	1.69471533
943	1.692568072
944	1.692197178
945	1.690050125
946	1.687811873
947	1.683801771
948	1.68222819
949	1.681925221
950	1.681675312
951	1.681470602
952	1.675320409
953	1.671532986
954	1.66846785
955	1.668199111
956	1.664032119
957	1.662062449
958	1.659429016
959	1.6591741
960	1.657862056
961	1.657674034
962	1.652564063
963	1.651216949
964	1.650142735
965	1.647740534
966	1.647533333
967	1.642449237
968	1.637213107
969	1.636961216
970	1.633673481
971	1.629617728
972	1.627615818
973	1.627271265
974	1.625796641
975	1.623489285
976	1.620211582
977	1.616288838
978	1.613098102
979	1.611171332
980	1.608803187
981	1.607315804
982	1.604619826
983	1.602989951
984	1.598645051
985	1.598393243
986	1.596841296
987	1.592320557
988	1.587381659
989	1.585510172
990	1.584803146
991	1.582531025
992	1.578320992
993	1.575520186
994	1.572703184
995	1.567977131
996	1.56363788
997	1.561927638
998	1.55776861
999	1.555621155
